train_loss,val_loss,lr,mask_val_loss,regr_val_loss
6.9304304,-1.0,0.001,-1.0,-1.0
5.1917987,-1.0,0.001,-1.0,-1.0
6.722277,-1.0,0.001,-1.0,-1.0
6.0947747,-1.0,0.001,-1.0,-1.0
6.51779,-1.0,0.001,-1.0,-1.0
5.233368,-1.0,0.001,-1.0,-1.0
7.94968,-1.0,0.001,-1.0,-1.0
4.5015774,-1.0,0.001,-1.0,-1.0
8.11235,-1.0,0.001,-1.0,-1.0
7.023601,-1.0,0.001,-1.0,-1.0
5.1241393,-1.0,0.001,-1.0,-1.0
10.993981,-1.0,0.001,-1.0,-1.0
7.2647233,-1.0,0.001,-1.0,-1.0
7.2375097,-1.0,0.001,-1.0,-1.0
7.651417,-1.0,0.001,-1.0,-1.0
6.1775203,-1.0,0.001,-1.0,-1.0
8.565905,-1.0,0.001,-1.0,-1.0
5.605621,-1.0,0.001,-1.0,-1.0
4.2891154,-1.0,0.001,-1.0,-1.0
9.309061,-1.0,0.001,-1.0,-1.0
5.672508,-1.0,0.001,-1.0,-1.0
7.674654,-1.0,0.001,-1.0,-1.0
7.458641,-1.0,0.001,-1.0,-1.0
7.4507732,-1.0,0.001,-1.0,-1.0
5.768808,-1.0,0.001,-1.0,-1.0
7.4103656,-1.0,0.001,-1.0,-1.0
6.2027793,-1.0,0.001,-1.0,-1.0
5.931965,-1.0,0.001,-1.0,-1.0
6.629674,-1.0,0.001,-1.0,-1.0
6.730828,-1.0,0.001,-1.0,-1.0
5.3142323,-1.0,0.001,-1.0,-1.0
6.0424857,-1.0,0.001,-1.0,-1.0
6.153514,-1.0,0.001,-1.0,-1.0
8.032953,-1.0,0.001,-1.0,-1.0
5.8434377,-1.0,0.001,-1.0,-1.0
6.114801,-1.0,0.001,-1.0,-1.0
5.8870797,-1.0,0.001,-1.0,-1.0
6.4248095,-1.0,0.001,-1.0,-1.0
5.948583,-1.0,0.001,-1.0,-1.0
6.0846376,-1.0,0.001,-1.0,-1.0
4.976132,-1.0,0.001,-1.0,-1.0
6.123188,-1.0,0.001,-1.0,-1.0
5.415953,-1.0,0.001,-1.0,-1.0
5.4939694,-1.0,0.001,-1.0,-1.0
6.991677,-1.0,0.001,-1.0,-1.0
5.2685337,-1.0,0.001,-1.0,-1.0
4.2062283,-1.0,0.001,-1.0,-1.0
5.1180596,-1.0,0.001,-1.0,-1.0
6.516562,-1.0,0.001,-1.0,-1.0
4.6405897,-1.0,0.001,-1.0,-1.0
8.2993765,-1.0,0.001,-1.0,-1.0
5.08901,-1.0,0.001,-1.0,-1.0
5.2984066,-1.0,0.001,-1.0,-1.0
9.534873,-1.0,0.001,-1.0,-1.0
5.32856,-1.0,0.001,-1.0,-1.0
4.603769,-1.0,0.001,-1.0,-1.0
7.6301775,-1.0,0.001,-1.0,-1.0
8.004178,-1.0,0.001,-1.0,-1.0
7.627366,-1.0,0.001,-1.0,-1.0
4.720436,-1.0,0.001,-1.0,-1.0
12.058378,-1.0,0.001,-1.0,-1.0
4.563571,-1.0,0.001,-1.0,-1.0
9.070642,-1.0,0.001,-1.0,-1.0
5.2162323,-1.0,0.001,-1.0,-1.0
5.9540215,-1.0,0.001,-1.0,-1.0
5.70637,-1.0,0.001,-1.0,-1.0
8.620121,-1.0,0.001,-1.0,-1.0
5.2545466,-1.0,0.001,-1.0,-1.0
6.8701086,-1.0,0.001,-1.0,-1.0
7.105384,-1.0,0.001,-1.0,-1.0
6.5898724,-1.0,0.001,-1.0,-1.0
7.3874626,-1.0,0.001,-1.0,-1.0
5.956258,-1.0,0.001,-1.0,-1.0
6.7746353,-1.0,0.001,-1.0,-1.0
